x,y,zx,zy,zxy,ncd
"AltitudeClasse","TMEDMAX",1132,1214,2382,1.029654036243822
"AltitudeClasse","TMEDMED",1132,1214,2363,1.014003294892916
"AltitudeClasse","TMEDMEDIAN",1132,1234,2379,1.010534846029173
"AltitudeClasse","TMEDMIN",1132,1258,2414,1.019077901430843
"AltitudeClasse","TMEDSOMA",1132,1884,3026,1.005307855626327
"AltitudeClasse","TMIN1stQ",1132,1223,2365,1.008176614881439
"AltitudeClasse","TMIN3stQ",1132,1203,2358,1.019118869492934
"AltitudeClasse","TMINMAX",1132,1176,2343,1.029761904761905
"AltitudeClasse","TMINMED",1132,1200,2359,1.022500000000000
"AltitudeClasse","TMINMEDIAN",1132,1182,2356,1.035532994923858
"AltitudeClasse","TMINMIN",1132,1204,2358,1.018272425249169
"AltitudeClasse","TMINSOMA",1132,1864,3007,1.005901287553648
"AltitudeClasse","TMOL1stQ",1132,1227,2381,1.017929910350448
"AltitudeClasse","TMOLMEDIAN",1132,1187,2330,1.009267059814659
"AltitudeClasse","TMOLMIN",1132,1208,2362,1.018211920529801
"AltitudeClasse","Talhão",1132,3126,4207,0.983685220729367
"AltitudeClasse","TipoSafra",1132,911,2134,1.080388692579505
"AltitudeClasse","UF",1132,893,2071,1.040636042402827
"AltitudeClasse","URMAX1stQ",1132,1271,2393,0.992132179386310
"AltitudeClasse","URMAX3stQ",1132,1117,2263,1.012367491166078
"AltitudeClasse","URMAXMAX",1132,1093,2232,1.006183745583039
"AltitudeClasse","URMAXMED",1132,1261,2391,0.998413957176844
"AltitudeClasse","URMAXMEDIAN",1132,1181,2324,1.009314140558848
"AltitudeClasse","URMAXMIN",1132,1323,2426,0.978080120937264
"AltitudeClasse","URMAXSOMA",1132,1957,3110,1.010730710270823
"AltitudeClasse","URMED1stQ",1132,1426,2507,0.964235624123422
"AltitudeClasse","URMED3stQ",1132,1383,2468,0.966015907447578
"AltitudeClasse","URMEDMAX",1132,1159,2298,1.006039689387403
"AltitudeClasse","URMEDMED",1132,1405,2498,0.972241992882562
"AltitudeClasse","URMEDMEDIAN",1132,1415,2503,0.968904593639576
"AltitudeClasse","URMEDMIN",1132,1341,2451,0.983594332587621
"AltitudeClasse","URMEDSOMA",1132,1997,3114,0.992488733099649
"AltitudeClasse","URMIN1stQ",1132,1433,2530,0.975575715282624
"AltitudeClasse","URMIN3stQ",1132,1423,2519,0.974701335207309
"AltitudeClasse","URMINMAX",1132,1228,2370,1.008143322475570
"AltitudeClasse","URMINMED",1132,1448,2544,0.975138121546961
"AltitudeClasse","URMINMEDIAN",1132,1427,2521,0.973370707778556
"AltitudeClasse","URMINMIN",1132,1309,2425,0.987776928953400
"AltitudeClasse","URMINSOMA",1132,1953,3035,0.974398361495136
"AltitudeClasse","VTMED2M1stQ",1132,1136,2287,1.016725352112676
"AltitudeClasse","VTMED2M3stQ",1132,1179,2320,1.007633587786259
"AltitudeClasse","VTMED2MMAX",1132,1214,2348,1.001647446457990
"AltitudeClasse","VTMED2MMED",1132,1160,2303,1.009482758620690
"AltitudeClasse","VTMED2MMEDIAN",1132,1174,2323,1.014480408858603
"AltitudeClasse","VTMED2MMIN",1132,1096,2236,1.007067137809187
"AltitudeClasse","VTMED2MSOMA",1132,1732,2792,0.958429561200924
"AltitudeClasse","codareaestacao",1132,1310,2438,0.996946564885496
"AltitudeClasse","ÁreaColhidaha",1132,1887,2922,0.948595654478007
"AltitudeClasse","ÁreaInsumoha",1132,1880,2907,0.944148936170213
"AltitudeDiferença","AltitudeMaxm",1391,1566,2848,0.930395913154534
"AltitudeDiferença","AltitudeMedm",1391,2293,3649,0.984736153510685
"AltitudeDiferença","AltitudeMinm",1391,1540,2811,0.922077922077922
"AltitudeDiferença","AssistenteTécnicoID",1391,1197,2676,1.063263838964773
"AltitudeDiferença","Ciclodias",1391,1602,3071,1.048689138576779
"AltitudeDiferença","ClasseSoloBR",1391,1327,2868,1.107836089144500
"AltitudeDiferença","ColheitaDecendio",1391,1039,2363,0.951833213515456
"AltitudeDiferença","ColheitaFinal",1391,1494,2938,1.035475234270415
"AltitudeDiferença","ColheitaInicial",1391,1499,2943,1.035356904603069
"AltitudeDiferença","ColheitaMes",1391,1070,2574,1.081236520488857
"AltitudeDiferença","CooperativaID",1391,922,2375,1.044572250179727
"AltitudeDiferença","Cultivar",1391,1556,3087,1.089974293059126
"AltitudeDiferença","Cultura",1391,875,2368,1.073328540618260
"AltitudeDiferença","DATA",1391,1277,2643,0.982027318475917
"AltitudeDiferença","DATAJ",1391,909,2371,1.051042415528397
"AltitudeDiferença","DIRVT2M1stQ",1391,1122,2409,0.925233644859813
"AltitudeDiferença","DIRVT2M3stQ",1391,1122,2431,0.941049604601007
"AltitudeDiferença","DIRVT2MMAX",1391,1044,2382,0.961897915168943
"AltitudeDiferença","DIRVT2MMED",1391,1140,2434,0.930265995686556
"AltitudeDiferença","DIRVT2MMEDIAN",1391,1129,2430,0.935298346513300
"AltitudeDiferença","DIRVT2MMIN",1391,1042,2358,0.946081955427750
"AltitudeDiferença","DIRVT2MSOMA",1391,1298,2595,0.932422717469446
"AltitudeDiferença","FOTOPERIODO1stQ",1391,1068,2550,1.065420560747663
"AltitudeDiferença","FOTOPERIODO3stQ",1391,994,2487,1.073328540618260
"AltitudeDiferença","FOTOPERIODOMAX",1391,973,2470,1.076204169662114
"AltitudeDiferença","FOTOPERIODOMED",1391,1035,2521,1.068296189791517
"AltitudeDiferença","FOTOPERIODOMEDIAN",1391,1035,2516,1.064701653486700
"AltitudeDiferença","FOTOPERIODOMIN",1391,1121,2614,1.073328540618260
"AltitudeDiferença","FOTOPERIODOSOMA",1391,1865,3259,1.001608579088472
"AltitudeDiferença","Fazenda",1391,3008,4472,1.024268617021277
"AltitudeDiferença","FungicidaPlanejado",1391,1013,2336,0.951114306254493
"AltitudeDiferença","Fungicidaaplicações",1391,995,2358,0.979870596693027
"AltitudeDiferença","HerbicidaPlanejado",1391,1015,2342,0.953989935298347
"AltitudeDiferença","Herbicidaaplicações",1391,984,2354,0.984902947519770
"AltitudeDiferença","InseticidaPlanejado",1391,1030,2343,0.943925233644860
