x,y,zx,zy,zxy,ncd
EARTH,MARS,87,92,146,0.6413043478260869
EARTH,MERCURY,87,92,148,0.6630434782608695
EARTH,VENUS,87,94,148,0.648936170212766
MARS,MERCURY,92,92,149,0.6195652173913043
MARS,VENUS,92,94,152,0.6382978723404256
MERCURY,VENUS,92,94,154,0.6595744680851063
